Date,nifty_open,nifty_high,nifty_low,nifty_close,nifty_volume,india_vix_close,nifty_return_5d,nifty_return_20d,vix_level_label,market_regime
2017-01-02,8210.099609375,8212.0,8133.7998046875,8179.5,118300,15.829999923706055,,,MID,
2017-01-03,8196.0498046875,8219.099609375,8148.60009765625,8192.25,127300,15.960000038146973,,,MID,
2017-01-04,8202.650390625,8218.5,8180.89990234375,8190.5,132400,15.890000343322754,,,MID,
2017-01-05,8226.650390625,8282.650390625,8223.7001953125,8273.7998046875,159100,15.050000190734863,,,MID,
2017-01-06,8281.849609375,8306.849609375,8233.25,8243.7998046875,139400,14.90999984741211,,,LOW,
2017-01-09,8259.349609375,8263.0,8227.75,8236.0498046875,99100,15.479999542236328,0.006913601648939505,,MID,
2017-01-10,8262.7001953125,8293.7998046875,8261.0,8288.599609375,142900,15.199999809265137,0.011761068006347353,,MID,
2017-01-11,8327.7998046875,8389.0,8322.25,8380.650390625,186500,14.8100004196167,0.023215968576399515,,LOW,
2017-01-12,8391.0498046875,8417.2001953125,8382.2998046875,8407.2001953125,172600,14.609999656677246,0.016123231619578515,,LOW,
2017-01-13,8457.650390625,8461.0498046875,8373.150390625,8400.349609375,185300,14.380000114440918,0.01899000562804609,,LOW,
2017-01-16,8390.9501953125,8426.7001953125,8374.400390625,8412.7998046875,124100,15.069999694824219,0.021460530738826256,,MID,
2017-01-17,8415.0498046875,8440.900390625,8378.2998046875,8398.0,122000,15.390000343322754,0.013198899184520885,,MID,
2017-01-18,8403.849609375,8460.2998046875,8397.400390625,8417.0,163800,15.180000305175781,0.004337325587004948,,MID,
2017-01-19,8418.400390625,8445.150390625,8404.0498046875,8435.099609375,165900,15.020000457763672,0.0033185142989762273,,MID,
2017-01-20,8404.349609375,8423.650390625,8340.9501953125,8349.349609375,202600,15.789999961853027,-0.00607117588809436,,MID,
2017-01-23,8329.599609375,8404.150390625,8327.2001953125,8391.5,195000,15.90999984741211,-0.002531833061762856,,MID,
2017-01-24,8407.0498046875,8480.9501953125,8398.150390625,8475.7998046875,179200,15.289999961853027,0.009264087245475006,,MID,
2017-01-25,8499.4501953125,8612.599609375,8493.9501953125,8602.75,292500,15.170000076293945,0.022068432933349147,,MID,
2017-01-27,8610.5,8672.7001953125,8606.900390625,8641.25,275400,16.010000228881836,0.02443959172644261,,MID,
2017-01-30,8635.5498046875,8662.599609375,8617.75,8632.75,304700,16.670000076293945,0.0339428103845103,,MID,
2017-01-31,8629.4501953125,8631.75,8552.400390625,8561.2998046875,521000,16.829999923706055,0.02023473809062737,0.04667764590592327,MID,BULL
2017-02-01,8570.349609375,8722.400390625,8537.5,8716.400390625,327700,13.970000267028809,0.02838677074515572,0.06398124942781291,LOW,BULL
2017-02-02,8724.75,8757.599609375,8685.7998046875,8734.25,283500,13.520000457763672,0.015285809770131609,0.06638788840730103,LOW,BULL
2017-02-03,8735.150390625,8748.25,8707.75,8740.9501953125,191000,13.130000114440918,0.011537705229278217,0.05646140850064296,LOW,BULL
2017-02-06,8785.4501953125,8814.099609375,8770.2001953125,8801.0498046875,194400,13.399999618530273,0.019495503134864256,0.06759625575613115,LOW,BULL
2017-02-07,8805.7001953125,8809.2998046875,8741.0498046875,8768.2998046875,226300,13.510000228881836,0.024178571563007623,0.0646244270763241,LOW,BULL
2017-02-08,8774.5498046875,8791.25,8715.0,8769.0498046875,218700,13.350000381469727,0.00604027026100451,0.05796518325834876,LOW,BULL
2017-02-09,8795.5498046875,8821.400390625,8724.099609375,8778.400390625,187500,13.239999771118164,0.005054857672381674,0.04746051695998954,LOW,BULL
2017-02-10,8812.349609375,8822.099609375,8771.2001953125,8793.5498046875,225900,13.180000305175781,0.006017607719948748,0.04595461038151716,LOW,BULL
2017-02-13,8819.7998046875,8826.900390625,8754.2001953125,8805.0498046875,204900,13.6899995803833,0.0004544912355648467,0.048176589562515915,LOW,BULL
2017-02-14,8819.900390625,8820.4501953125,8772.5,8792.2998046875,188300,13.800000190734863,0.002737132686449595,0.04510983368325827,LOW,BULL
2017-02-15,8778.9501953125,8807.900390625,8712.849609375,8724.7001953125,216100,14.210000038146973,-0.005057515963849735,0.03890214280929993,LOW,BULL
2017-02-16,8739.0,8783.9501953125,8719.599609375,8778.0,184600,13.729999542236328,-4.561088662891066e-05,0.04288939051918739,LOW,BULL
2017-02-17,8883.7001953125,8896.4501953125,8804.25,8821.7001953125,298300,13.430000305175781,0.0032012544706341295,0.04583236758790865,LOW,BULL
2017-02-20,8818.5498046875,8886.25,8809.7998046875,8879.2001953125,167800,13.609999656677246,0.008421348234228576,0.06346010296928539,LOW,BULL
2017-02-21,8890.75,8920.7998046875,8860.9501953125,8907.849609375,175700,13.529999732971191,0.01314215930465612,0.06153245657808504,LOW,BULL
2017-02-22,8931.599609375,8960.75,8905.25,8926.900390625,247100,13.699999809265137,0.023175603835778213,0.05322218508370402,LOW,BULL
2017-02-23,8956.400390625,8982.150390625,8927.5498046875,8939.5,377200,13.399999618530273,0.018398268398268414,0.039144459620470196,LOW,BULL
2017-02-27,8943.7001953125,8951.7998046875,8888.650390625,8896.7001953125,189900,13.680000305175781,0.008501762510570554,0.029561717958918043,LOW,NEUTRAL
2017-02-28,8898.9501953125,8914.75,8867.599609375,8879.599609375,293600,13.789999961853027,4.4983112635677e-05,0.028594550910775896,LOW,NEUTRAL
2017-03-01,8904.400390625,8960.7998046875,8898.599609375,8945.7998046875,205900,13.579999923706055,0.004260309387414951,0.04491140466655286,LOW,BULL
2017-03-02,8982.849609375,8992.5,8879.7998046875,8899.75,218800,13.359999656677246,-0.0030414129694460446,0.02103501458838486,LOW,NEUTRAL
2017-03-03,8883.5,8907.099609375,8860.099609375,8897.5498046875,202600,13.350000381469727,-0.0046926780370826204,0.018696488500729913,LOW,NEUTRAL
2017-03-06,8915.099609375,8967.7998046875,8914.0,8963.4501953125,174800,13.640000343322754,0.007502781765667432,0.025454898498256995,LOW,NEUTRAL
2017-03-07,8977.75,8977.849609375,8932.7998046875,8946.900390625,173400,13.880000114440918,0.007579258548881418,0.016571953252647154,LOW,NEUTRAL
2017-03-08,8950.7001953125,8957.0498046875,8891.9501953125,8924.2998046875,177800,14.079999923706055,-0.002403362524246777,0.01779136246192259,LOW,NEUTRAL
2017-03-09,8914.5,8945.7998046875,8899.5,8927.0,171500,14.390000343322754,0.003061883760779871,0.018012236083785105,LOW,NEUTRAL
2017-03-10,8953.7001953125,8975.7001953125,8903.9501953125,8934.5498046875,152700,13.960000038146973,0.004158448203404053,0.01778791204708119,LOW,NEUTRAL
2017-03-14,9091.650390625,9122.75,9060.5,9087.0,270300,12.399999618530273,0.013783733048699398,0.033371073324230505,LOW,BULL
2017-03-15,9086.849609375,9106.5498046875,9075.5,9084.7998046875,240600,12.420000076293945,0.015413093701925895,0.031771540900435546,LOW,BULL
2017-03-16,9129.650390625,9158.4501953125,9128.5498046875,9153.7001953125,208600,11.90999984741211,0.025705141652066388,0.04110419328880521,LOW,BULL
2017-03-17,9207.7998046875,9218.400390625,9147.599609375,9160.0498046875,286700,11.850000381469727,0.02610617281141492,0.049898517958118394,LOW,BULL
2017-03-20,9166.9501953125,9167.599609375,9116.2998046875,9126.849609375,332100,12.020000457763672,0.021523166683408146,0.039741354451469535,LOW,BULL
2017-03-21,9133.9501953125,9147.75,9087.2001953125,9121.5,247700,11.9399995803833,0.0037966325519973587,0.03398435653558041,LOW,BULL
2017-03-22,9047.2001953125,9072.900390625,9019.2998046875,9030.4501953125,232300,12.270000457763672,-0.005982477384582241,0.01703419189487887,LOW,NEUTRAL
